Stazione, Milano - Verziere

Data/Ora, PM10 (SM2005) - µg/m³
2018/02/26,-999
2018/02/27,34
2018/02/28,51
2018/03/01,55
2018/03/02,63
2018/03/03,43
2018/03/04,38
2018/03/05,50
2018/03/06,54
2018/03/07,44
2018/03/08,39
2018/03/09,41
2018/03/10,15
2018/03/11,14
2018/03/12,24
2018/03/13,39
2018/03/14,30
2018/03/15,25
2018/03/16,20
2018/03/17,13
2018/03/18,7
2018/03/19,13
2018/03/20,26
2018/03/21,31
2018/03/22,35
2018/03/23,-999
2018/03/24,38
2018/03/25,29
2018/03/26,59
2018/03/27,-999
2018/03/28,53
2018/03/29,71
2018/03/30,50
2018/03/31,17
2018/04/01,10
2018/04/02,22
2018/04/03,25
2018/04/04,26
2018/04/05,34
2018/04/06,47
2018/04/07,48
2018/04/08,34
2018/04/09,21
2018/04/10,18
2018/04/11,18
2018/04/12,14
2018/04/13,18
2018/04/14,24
2018/04/15,24
2018/04/16,24
2018/04/17,-999
2018/04/18,-999
2018/04/19,52
2018/04/20,53
2018/04/21,53
2018/04/22,35
2018/04/23,40
2018/04/24,-999
2018/04/25,-999
2018/04/26,33
2018/04/27,34
2018/04/28,40
2018/04/29,41
2018/04/30,-999
2018/05/01,16
2018/05/02,14
2018/05/03,26
2018/05/04,30
2018/05/05,29
2018/05/06,30
2018/05/07,23
2018/05/08,24
2018/05/09,17
2018/05/10,22
2018/05/11,25
2018/05/12,18
2018/05/13,15
2018/05/14,9
2018/05/15,12
2018/05/16,15
2018/05/17,20
2018/05/18,21
2018/05/19,19
2018/05/20,13
2018/05/21,17
2018/05/22,27
2018/05/23,23
2018/05/24,27
2018/05/25,30
2018/05/26,46
2018/05/27,34
2018/05/28,22
2018/05/29,23
2018/05/30,44
2018/05/31,28
2018/06/01,24
2018/06/02,22
2018/06/03,20
2018/06/04,28
2018/06/05,27
2018/06/06,21
2018/06/07,17
2018/06/08,14
2018/06/09,17
2018/06/10,19
2018/06/11,34
2018/06/12,35
2018/06/13,17
2018/06/14,14
2018/06/15,20
2018/06/16,20
2018/06/17,23
2018/06/18,21
2018/06/19,27
2018/06/20,29
2018/06/21,31
2018/06/22,25
2018/06/23,17
2018/06/24,18
2018/06/25,21
2018/06/26,16
2018/06/27,26
2018/06/28,16
2018/06/29,25
2018/06/30,25
2018/07/01,27
2018/07/02,29
2018/07/03,30
2018/07/04,19
2018/07/05,17
2018/07/06,23
2018/07/07,19
2018/07/08,17
2018/07/09,23
2018/07/10,27
2018/07/11,22
2018/07/12,30
2018/07/13,27
2018/07/14,28
2018/07/15,21
2018/07/16,21
2018/07/17,24
2018/07/18,25
2018/07/19,25
2018/07/20,30
2018/07/21,11
2018/07/22,12
2018/07/23,15
2018/07/24,20
2018/07/25,23
2018/07/26,39
2018/07/27,20
2018/07/28,19
2018/07/29,19
2018/07/30,26
2018/07/31,33
2018/08/01,32
2018/08/02,26
2018/08/03,25
2018/08/04,21
2018/08/05,22
2018/08/06,27
2018/08/07,20
2018/08/08,25
2018/08/09,27
2018/08/10,22
2018/08/11,19
2018/08/12,20
2018/08/13,18
2018/08/14,18
2018/08/15,10
2018/08/16,14
2018/08/17,16
2018/08/18,19
2018/08/19,19
2018/08/20,20
2018/08/21,23
2018/08/22,26
2018/08/23,29
2018/08/24,18
2018/08/25,17
2018/08/26,12
2018/08/27,9
2018/08/28,24
2018/08/29,-999
2018/08/30,26
2018/08/31,17
2018/09/01,10
2018/09/02,9
2018/09/03,-999
2018/09/04,-999
2018/09/05,-999
2018/09/06,-999
2018/09/07,-999
2018/09/08,-999
2018/09/09,-999
2018/09/10,-999
2018/09/11,41
2018/09/12,39
2018/09/13,42
2018/09/14,25
2018/09/15,38
2018/09/16,37
2018/09/17,30
2018/09/18,44
2018/09/19,46
2018/09/20,46
2018/09/21,44
2018/09/22,31
2018/09/23,24
2018/09/24,27
2018/09/25,20
2018/09/26,22
2018/09/27,42
2018/09/28,47
2018/09/29,32
2018/09/30,23
2018/10/01,21
2018/10/02,17
2018/10/03,33
2018/10/04,50
2018/10/05,37
2018/10/06,44
2018/10/07,33
2018/10/08,44
2018/10/09,57
2018/10/10,52
2018/10/11,48
2018/10/12,36
2018/10/13,54
2018/10/14,47
2018/10/15,49
2018/10/16,47
2018/10/17,60
2018/10/18,61
2018/10/19,55
2018/10/20,65
2018/10/21,64
2018/10/22,18
2018/10/23,35
2018/10/24,19
2018/10/25,64
2018/10/26,35
2018/10/27,31
2018/10/28,15
2018/10/29,11
2018/10/30,15
2018/10/31,17
2018/11/01,16
2018/11/02,30
2018/11/03,28
2018/11/04,24
2018/11/05,18
2018/11/06,19
2018/11/07,21
2018/11/08,-999
2018/11/09,26
2018/11/10,36
2018/11/11,34
2018/11/12,27
2018/11/13,31
2018/11/14,51
2018/11/15,67
2018/11/16,31
2018/11/17,20
2018/11/18,18
2018/11/19,29
2018/11/20,24
2018/11/21,-999
2018/11/22,43
2018/11/23,43
2018/11/24,14
2018/11/25,26
2018/11/26,29
2018/11/27,41
2018/11/28,44
2018/11/29,43
2018/11/30,54
2018/12/01,71
2018/12/02,69
2018/12/03,65
2018/12/04,70
2018/12/05,76
2018/12/06,67
2018/12/07,76
2018/12/08,26
2018/12/09,32
2018/12/10,15
2018/12/11,21
2018/12/12,38
2018/12/13,33
2018/12/14,34
2018/12/15,59
2018/12/16,71
2018/12/17,71
2018/12/18,82
2018/12/19,57
2018/12/20,30
2018/12/21,39
2018/12/22,39
2018/12/23,42
2018/12/24,36
2018/12/25,39
2018/12/26,43
2018/12/27,55
2018/12/28,63
2018/12/29,83
2018/12/30,56
2018/12/31,63
2019/01/01,88
2019/01/02,32
2019/01/03,21
2019/01/04,48
2019/01/05,61
2019/01/06,69
2019/01/07,93
2019/01/08,107
2019/01/09,34
2019/01/10,20
2019/01/11,30
2019/01/12,50
2019/01/13,68
2019/01/14,25
2019/01/15,31
2019/01/16,64
2019/01/17,44
2019/01/18,49
2019/01/19,16
2019/01/20,44
2019/01/21,71
2019/01/22,70
2019/01/23,55
2019/01/24,55
2019/01/25,59
2019/01/26,77
2019/01/27,70
2019/01/28,50
2019/01/29,52
2019/01/30,28
2019/01/31,47
2019/02/01,27
2019/02/02,30
2019/02/03,31
2019/02/04,33
2019/02/05,48
2019/02/06,65
2019/02/07,79
2019/02/08,91
2019/02/09,66
2019/02/10,71
2019/02/11,30
2019/02/12,18
2019/02/13,38
2019/02/14,52
2019/02/15,72
2019/02/16,-999
2019/02/17,-999
2019/02/18,0
2019/02/19,-999
2019/02/20,64
2019/02/21,83
2019/02/22,76
2019/02/23,52
2019/02/24,28
2019/02/25,56
2019/02/26,61
